JobTitle,JobSubCategories,Clean_Job_title
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Assistant Product Manager Chocolate (m/w/d),admin.40.36,Assistant Product Manager Chocolate 
assistente 60-100 %,admin.2.3,assistente 
Assistent Marketing (m/w),admin.40.41,Assistent Marketing 
Research Assistant Liver Safety (100%),tech.66.68,Research Assistant Liver Safety 
Executive Assistant,admin.2.2022,Executive Assistant
Assistent/in Marketing Bereich Baumarkt 80-100% nach Vereinbarung,admin.45.51,Assistent Marketing Bereich Baumarkt nach Vereinbarung
Executive Assistant (f/m/x),admin.2.3,Executive Assistant fmx
Executive Assistant mit Zusatzaufgaben (m/w) 70-80%,admin.2.2022,Executive Assistant mit Zusatzaufgaben 
"Assistent der Geschäftsleitung und des Verwaltungsrates (m/w/d), 60%, Hauptsitz in Gerlafingen",admin.2.2022,Assistent der Geschäftsleitung und des Verwaltungsrates Hauptsitz in Gerlafingen
Sales Assistant 80% - 100% (m/w/d),admin.45.49,Sales Assistant 
Administrative Assistant 80 - 100%,admin.2.3,Administrative Assistant 
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Genesis Personal Assistant,admin.45.47,Genesis Personal Assistant
Personal Assistant 100% (m/w),admin.20.21,Personal Assistant 
Assistant General Aviation 50-60% (a),admin.2.3,Assistant General Aviation a
Office Manager / Executive Assistant,admin.2.3,Office Manager Executive Assistant
Assistant Manager Fitness Club (w/m/d),service.145.147,Assistant Manager Fitness Club 
Montage-AssistentIn für die Heimlieferung von Elektro-Haushaltgeräten,tech.89.74,MontageAssistentIn für die Heimlieferung von ElektroHaushaltgeräten
Sachbearbeiter/in Administration,admin.2.3,Sachbearbeiter Administration
Assistent/in Marketing Bereich Garten 80% ab sofort für 6 Monate,admin.40.41,Assistent Marketing Bereich Garten ab sofort für Monate
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Assistant Sales Support 50 - 60% (w/m/d),admin.45.49,Assistant Sales Support 
Senior HR-Assistent (m/w/d),admin.2.4,Senior HRAssistent 
Anwaltsassistent/in 80-100%,admin.2.3,Anwaltsassistent 
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Pflegehelfer/in mit SRK Kurs oder Assistentin Gesundheit und Soziales EBA (60 % bis 100 %),service.111.116,Pflegehelfer mit SRK Kurs oder Assistentin Gesundheit und Soziales EBA bis 
Pharma-Assistent / PTA 60-100% (m/w/d) Buchs AG,tech.66.67,PharmaAssistent PTA Buchs AG
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Assistant-e au sein de notre service « finances et administration » 70 - 80 %,admin.45.49,Assistante au sein de notre service « finances et administration » 
COLLABORATEUR/TRICE ADMINISTRATIF/VE 70 - 80 %,admin.2.155,COLLABORATEURTRICE ADMINISTRATIFVE 
Collaboratrice ou collaborateur promotion et inscription « Mon Dossier Santé » de 20% à 100% (6 à 9,admin.2.3,Collaboratrice ou collaborateur promotion et inscription « Mon Dossier Santé » de à à 
Assistent/-In Bewirtschaftung mit Perspektive,admin.9.13,AssistentIn Bewirtschaftung mit Perspektive
ASSISTENT / ASSISTENTIN SALES SUPPORT (m/w/d) (50% BESCHÄFTIGUNGSGRAD),admin.2.3,ASSISTENT ASSISTENTIN SALES SUPPORT BESCHÄFTIGUNGSGRAD
Assistante Administrative - Juridique,admin.2.7,Assistante Administrative Juridique
Technischer Support und Unterstützung Einkauf (80-100%),tech.72.73,Technischer Support und Unterstützung Einkauf 
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Assistant Online Category Manager 100%,admin.40.36,Assistant Online Category Manager 
Project Assistant 100% (all genders),admin.2.3,Project Assistant all genders
Administrative Assistant,admin.2.3,Administrative Assistant
Assistante de direction FR-ALL (B2),admin.2.2022,Assistante de direction FRALL B
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Detailhandelsassistentin Detailhandelsassistent EBA
Lehre als Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Lehre als Detailhandelsassistentin Detailhandelsassistent EBA
Lehre als Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Lehre als Detailhandelsassistentin Detailhandelsassistent EBA
Lehre als Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Lehre als Detailhandelsassistentin Detailhandelsassistent EBA
Lehre als Detailhandelsassistentin / Detailhandelsassistent EBA,admin.45.47,Lehre als Detailhandelsassistentin Detailhandelsassistent EBA
Assistant Informatique H/F,tech.53.2029,Assistant Informatique HF
Sachbearbeiter/in - Assistent/in,admin.9.13,Sachbearbeiter Assistent
Un/e Assistant/e de Gérance à 100%,admin.9.13,Une Assistante de Gérance à 
HR- und Office Assistant (80-100%),admin.2.2022,HR und Office Assistant 
Sachbearbeiter Administration und Kundendienst (m/w),admin.45.50,Sachbearbeiter Administration und Kundendienst 
"Assistent/in Wirtschaftsprüfung 80-100%, ab sofort oder nach Vereinbarung",admin.9.10,Assistent Wirtschaftsprüfung ab sofort oder nach Vereinbarung
Un-e Assistant-e en soins et santé communautaire (ASSC) à 80-100%,service.111.115,Une Assistante en soins et santé communautaire ASSC à 
Teamleiter/in Immobilienbewirtschaftung 80%-100%,admin.9.13,Teamleiter Immobilienbewirtschaftung 
Staatsanwaltsassistentin/Staatsanwaltsassistent 75%,service.120.121,StaatsanwaltsassistentinStaatsanwaltsassistent 
Immobilienbewirtschafter (w/m/d),admin.9.13,Immobilienbewirtschafter 
Mitarbeiter/-in Qualitätssicherung 60% - 100%,tech.66.69,Mitarbeiterin Qualitätssicherung 
HR-Sachbearbeiter 100% (w/m/d),admin.2.155,HRSachbearbeiter 
Assistante logistique H/F,admin.35.38,Assistante logistique HF
Infirmière spécialisée pour la consultation télémédicale (50 - 100 %),service.111.116,Infirmière spécialisée pour la consultation télémédicale 
Mitarbeiter/-in Betreuung und Pflege 50-100%,service.111.116,Mitarbeiterin Betreuung und Pflege 
"Senior/Assistant Manager (all genders), US Corporate Audit - Geneva",admin.9.11,SeniorAssistant Manager all genders US Corporate Audit Geneva
Employé-e d'administration à 80%,admin.2.3,Employée dadministration à 
Medizinische Praxisassistentin MPA 50-100%,admin.2.3,Medizinische Praxisassistentin MPA 
"Assistent:in der Geschäftsleitung mit Kommunikationsaufgaben, 80 bis 100%",admin.2.3,Assistent der Geschäftsleitung mit Kommunikationsaufgaben bis 
Assistent/in Legal und Buchhaltung D/E 60-80%,admin.2.7,Assistent Legal und Buchhaltung DE 
Mitarbeiter*in temporär für 3-6 Monate (60-100%),admin.2.155,Mitarbeiter temporär für Monate 
Employé de magasin (h/f) 40%,admin.45.47,Employé de magasin hf 
Assistant Manager or Manager - Master Data Management 80 % - 100 %,admin.2.2022,Assistant Manager or Manager Master Data Management 
Assistent/Assistentin des CEO,admin.2.2022,AssistentAssistentin des CEO
Assistent/in Kommunikation (50%),admin.40.43,Assistent Kommunikation 
Personnel de vente internes Fr/En,admin.2.3,Personnel de vente internes FrEn
"Account-Based Marketing, Senior Manager",tech.53.59,AccountBased Marketing Senior Manager
Project Assistant Live Marketing & POS-Merchandising 80-100%,admin.40.41,Project Assistant Live Marketing POSMerchandising 
Project Manager Live Marketing 80-100% (m/w/d),admin.40.41,Project Manager Live Marketing 
Marketing Spezialist (w/m/d) 80 - 100%,admin.40.41,Marketing Spezialist 
Kommunikations- und Marketingspezialist/in (80-100%),admin.40.41,Kommunikations und Marketingspezialist 
Projektleiter/in Media 80% ab 19.09.2022 bis 30.12.2022,admin.40.44,Projektleiter Media ab bis 
Marketing Projekt Manager (m/w/d),admin.40.2025,Marketing Projekt Manager 
Mitarbeitende Marketing & Events Koordinator 60-100% (m/w/d),admin.40.36,Mitarbeitende Marketing Events Koordinator 
"Fachspezialist Dialogmarketing + Web (w/m/d), 80 %",admin.40.2025,Fachspezialist Dialogmarketing Web 
Marketing Manager 80-100% (w/m/d),admin.40.41,Marketing Manager 
Consumer Marketing Manager MAC COSMETICS,admin.40.41,Consumer Marketing Manager MAC COSMETICS
Marketing Manager 50-60% (a),admin.40.41,Marketing Manager a
Marketingstelle 80-100 %,admin.40.36,Marketingstelle 
Digital Manager/in 80-100%,admin.45.51,Digital Manager 
Marketing Specialist (m/w/d),admin.40.41,Marketing Specialist 
Marketingplaner (w/m),admin.40.41,Marketingplaner 
Stv. Erstkassierer/in,admin.45.47,Stv Erstkassierer
"Senior Manager, Marketing NF-1 and New Products Alpine",admin.40.41,Senior Manager Marketing NF and New Products Alpine
Marketing-Spezialist (w/m/d) 80-100%,admin.40.41,MarketingSpezialist 
Mitarbeiter Marketing/Kommunikation (w/m),admin.40.42,Mitarbeiter MarketingKommunikation 
Marketing Specialist 100%,admin.40.2025,Marketing Specialist 
Digital Marketing Analyst (m/w/d) 80-100%,admin.40.36,Digital Marketing Analyst 
Supervisor IT,tech.53.2029,Supervisor IT
Content Marketing Manager,admin.40.41,Content Marketing Manager
Mitarbeiter Marketing und Vertrieb (w/m/d) 60 - 100%,admin.40.41,Mitarbeiter Marketing und Vertrieb 
Praktikant/in im Content Marketing mit Social Media Skills (80-100%) für 12 Monate,admin.2.155,Praktikant im Content Marketing mit Social Media Skills für Monate
Product Manager Opérations Bancaires H/F,admin.20.150,Product Manager Opérations Bancaires HF
Agent commercial - téléprospection,admin.45.50,Agent commercial téléprospection
Kundenberater Inbound Contact Center (m/w/d.) 80-100%,admin.45.46,Kundenberater Inbound Contact Center 
Teamleitung Callcenter (m/w/d),admin.45.46,Teamleitung Callcenter 
Telefonistin Outbound,admin.45.46,Telefonistin Outbound
Callcenter Agent - Supporter eBanking Service - 5446,admin.45.50,Callcenter Agent Supporter eBanking Service 
Callcenter Agent 80-100%,tech.53.61,Callcenter Agent 
Mitarbeiter/in Telemarketing 70-100% in Baden,admin.20.27,Mitarbeiter Telemarketing in Baden
Sachbearbeiter/in Competence Center Payments 50 - 80 %,admin.20.23,Sachbearbeiter Competence Center Payments 
Outbound Agent 60-100%,admin.20.27,Outbound Agent 
Call Agent Inbound (m/w/d),admin.45.50,Call Agent Inbound 
Technischer Kundenberater:in Basel und Homeoffice Call Center Agent,admin.45.50,Technischer Kundenberater Basel und Homeoffice Call Center Agent
Customer Service Agent (m/w) 100%,admin.45.50,Customer Service Agent 
Call Center Agent Outbound,admin.45.46,Call Center Agent Outbound
Kundenberater Contact Center (m/w) 80-100%,admin.45.46,Kundenberater Contact Center 
Abklärungsfachfrau/-fachmann Schwerpunkt Erwachsene (70% - 100%),admin.20.33,Abklärungsfachfraufachmann Schwerpunkt Erwachsene 
Kundenberaterin Contact Center m/w (80-100%),admin.45.46,Kundenberaterin Contact Center 
"Callcenter Mitarbeiter, befristet für 8 Monate (m/w) 100%",admin.45.46,Callcenter Mitarbeiter befristet für Monate 
Pflegehelfer/in SRK / Assistent/in Gesundheit und Soziales 40 - 60%,service.111.115,Pflegehelfer SRK Assistent Gesundheit und Soziales 
Sales Administration Agent,admin.45.2026,Sales Administration Agent
Customer Sales Representative (m/w) 100% ZH-Flughafen,admin.45.49,Customer Sales Representative ZHFlughafen
Agente traffico,admin.45.2026,Agente traffico
Logistic Agent für Spedition & Demologistik,admin.35.38,Logistic Agent für Spedition Demologistik
Ticket Agent für SWISS International Airlines Ltd.,tech.101.109,Ticket Agent für SWISS International Airlines Ltd
"Data Management Agent (m/w/d), Zürich, 100%",tech.53.56,Data Management Agent Zürich 
Project Manager (f/m/d),admin.35.38,Project Manager 
Zerleger*in mit Springerfunktion 100% (w/m/d),tech.81.86,Zerleger mit Springerfunktion 
Middle Office Agent,admin.20.29,Middle Office Agent
"Assistant (all genders), SME Audit - Lausanne",admin.9.11,Assistant all genders SME Audit Lausanne
un agent / technologue d'entretien en assainissement,tech.81.87,un agent technologue dentretien en assainissement
Agent(e) D'entretien,tech.101.19,Agente Dentretien
LandschaftsarchitektIn FH (w/m/d) (jegliches Pensum möglich),tech.89.92,LandschaftsarchitektIn FH jegliches Pensum möglich
Lehrstelle ab August 2022 Landschaftsgärtner/in EFZ,tech.89.92,Lehrstelle ab August Landschaftsgärtner EFZ
"Technicien(ne) - Paysagiste / Secteur Création, clientèle de proximité",tech.89.92,Technicienne Paysagiste Secteur Création clientèle de proximité
Junggärtner m/w,tech.89.92,Junggärtner 
Landschaftsarchitekt Projektleitung (w/m),tech.89.92,Landschaftsarchitekt Projektleitung 
Landschaftsgärtner/ in 100 % mit Fachrichtung Unterhalt und Pflege,tech.89.92,Landschaftsgärtner in mit Fachrichtung Unterhalt und Pflege
Zeichner*In / Landschaftsarchitekt*In,tech.89.90,ZeichnerIn LandschaftsarchitektIn
Landschaftsgärtner/in EFZ oder EBA mit mehrjähriger Erfahrung,tech.89.92,Landschaftsgärtner EFZ oder EBA mit mehrjähriger Erfahrung
landschaftsarchitekt*in / projektleiter*in,admin.20.150,landschaftsarchitekt projektleiter
Landschaftsarchitekt/in Projektleiter/in im Sportplatz und Gartebau 100%,admin.20.150,Landschaftsarchitekt Projektleiter im Sportplatz und Gartebau 
Technicien/ne paysagiste terrains de sport,tech.89.92,Technicienne paysagiste terrains de sport
Landschaftsarchitekt/in Entwurf und Wettbewerbe,tech.89.92,Landschaftsarchitekt Entwurf und Wettbewerbe
Lehrstelle als Landschaftsgärtner/in (Ausbildung 3 Jahre),tech.89.92,Lehrstelle als Landschaftsgärtner Ausbildung Jahre
Landschaftsarchitekt (w/m),tech.89.92,Landschaftsarchitekt 
Landschaftsgärtner (m/w) 100%,tech.89.92,Landschaftsgärtner 
Landschaftsarchitekt/in als Projektleiter/in,admin.20.150,Landschaftsarchitekt als Projektleiter
Landschaftsarchitekt/in 80-100%,tech.89.92,Landschaftsarchitekt 
EINE/N LANDSCHAFTSGÄRTNER/IN.,tech.89.92,EINEN LANDSCHAFTSGÄRTNERIN
einen aufgestellten Landschaftsgärtner/in EFZ 100%,tech.89.92,einen aufgestellten Landschaftsgärtner EFZ 
Landschaftsgärtner/in EFZ Fachrichtung Gartenunterhalt 100%,tech.89.92,Landschaftsgärtner EFZ Fachrichtung Gartenunterhalt 
Technicien/ne paysagiste entretien,tech.89.92,Technicienne paysagiste entretien
Technicien/ne paysagiste création,tech.89.92,Technicienne paysagiste création
Landschaftsgärtner/in EFZ Unterhalt,tech.89.92,Landschaftsgärtner EFZ Unterhalt
Landschaftsgärtner EFZ (m/w),tech.89.92,Landschaftsgärtner EFZ 
Landschaftsgärtner (m/w) 100%,tech.89.92,Landschaftsgärtner 
Landschaftsgärtner/in EFZ,tech.89.92,Landschaftsgärtner EFZ
Landschaftsarchitekt/in Objektplanung,tech.89.92,Landschaftsarchitekt Objektplanung
Landschaftsgärtner/in EFZ und,tech.89.92,Landschaftsgärtner EFZ und
Ausgelernten Landschaftsgärtner / Landschaftgärtnerin,tech.89.92,Ausgelernten Landschaftsgärtner Landschaftgärtnerin
Landschaftsgärtner/in EFZ,tech.89.92,Landschaftsgärtner EFZ
Landschaftsgärtner/in,tech.89.92,Landschaftsgärtner
Landschaftsgärtner/in,tech.89.92,Landschaftsgärtner
Landschaftsgärtner/in,tech.89.92,Landschaftsgärtner
Landschaftsgärtner/in EBA,tech.89.92,Landschaftsgärtner EBA
Landschaftsgärtner EFZ,tech.89.92,Landschaftsgärtner EFZ
Gartenbautechniker*in / Landschaftsarchitekt*in Schwerpunkt Ausführung 80-100%,tech.89.92,Gartenbautechniker Landschaftsarchitekt Schwerpunkt Ausführung 
Landschaftsgärtner (m/w),tech.89.92,Landschaftsgärtner 
Landschaftsgärtner/in EFZ,tech.89.92,Landschaftsgärtner EFZ
Landschaftsarchitektin / Landschaftsarchitekt,tech.89.92,Landschaftsarchitektin Landschaftsarchitekt
Landschaftsgärtner,tech.89.92,Landschaftsgärtner
Landschaftsgärtner EFZ,tech.89.92,Landschaftsgärtner EFZ
Freie Lehrstelle als Landschaftsgärtnerin / Landschaftsgärtner EFZ (3 Jahre) ab Sommer 2023,tech.89.92,Freie Lehrstelle als Landschaftsgärtnerin Landschaftsgärtner EFZ Jahre ab Sommer 
Landschaftsgärtner/in,tech.89.92,Landschaftsgärtner
"LandschaftsgärtnerIn (Fachrichtung Garten, Landschafts- und Sportplatzbau)",tech.89.92,LandschaftsgärtnerIn Fachrichtung Garten Landschafts und Sportplatzbau
Landschaftsgärtner (w/m) Unterhalt EFZ 100%,tech.89.92,Landschaftsgärtner Unterhalt EFZ 
Landschaftsarchitekt/in Projektierung und Realisation,tech.89.92,Landschaftsarchitekt Projektierung und Realisation
Landschaftsgärtner/in,tech.89.92,Landschaftsgärtner
"Collaboratore/collaboratrice prestazioni (Settore ambulatoriale e stazionario ) (100%), Canton Ticin",admin.20.27,Collaboratorecollaboratrice prestazioni Settore ambulatoriale e stazionario Canton Ticin
Junggärtner/in EFZ,tech.89.92,Junggärtner EFZ
Junggärtner/-in EFZ,tech.89.92,Junggärtnerin EFZ
Junggärtner/in,tech.89.92,Junggärtner
Sachbearbeiter*in Verrechnung,admin.45.49,Sachbearbeiter Verrechnung
Gestionnaire Indemnités Journalières 100% (t),admin.20.33,Gestionnaire Indemnités Journalières t
Neue Mitglieder der Kommission 105 Leistungen und Honorare der Landschaftsarchitektinnen und Landschaftsarchitekte,tech.89.92,Neue Mitglieder der Kommission Leistungen und Honorare der Landschaftsarchitektinnen und Landschaftsarchitekte
Mitarbeiter:in Empfang / Med. Sekretär:in / MPA,service.111.113,Mitarbeiter Empfang Med Sekretär MPA
Mitarbeiter*in Empfang,admin.2.3,Mitarbeiter Empfang
"Mitarbeiter/in Empfang, Telefon & Administration 60-80%",admin.2.3,Mitarbeiter Empfang Telefon Administration 
Backoffice Mitarbeiter / Rezeptionist (m/w/d) 40-60%,admin.2.3,Backoffice Mitarbeiter Rezeptionist 
Receptionist/Rezeptionistin 100%,service.126.133,ReceptionistRezeptionistin 
MitarbeiterIn Empfang 50% (a),admin.2.3,MitarbeiterIn Empfang a
Mitarbeiter*in Empfang & Administration 60%,admin.2.3,Mitarbeiter Empfang Administration 
Allrounder*in Empfang 50-60% (m/w/d) im Finanzbereich,admin.2.3,Allrounder Empfang im Finanzbereich
Empfangssekretär/-in / Receptionist/-in (100%) (a),admin.2.3,Empfangssekretärin Receptionistin a
Concierge Compétences dans le sanitaire et le carrelage,admin.2.3,Concierge Compétences dans le sanitaire et le carrelage
Rezeptionist-/in/ Kundenempfang 80%-100% (w/m/d),admin.2.3,Rezeptionist Kundenempfang 
Empfangssekretär/-in / Receptionist/-in (100%) (a),admin.2.3,Empfangssekretärin Receptionistin a
Mitarbeiter Réception/Administration,admin.2.3,Mitarbeiter RéceptionAdministration
Réceptionniste Polivalente 100%,admin.2.3,Réceptionniste Polivalente 
Téléphoniste-réceptionniste 90%,admin.2.3,Téléphonisteréceptionniste 
Serviceassistent / Mitarbeiter Empfang (m/w) 100%,admin.2.3,Serviceassistent Mitarbeiter Empfang 
Réceptionist-/in auch Teilzeit möglich,admin.2.3,Réceptionist auch Teilzeit möglich
Rezeptionist gelernt Hotel Terrace (m/w) 100%,admin.2.3,Rezeptionist gelernt Hotel Terrace 
Rezeptionist/in 60% Pensum für 8 Wochen,admin.2.3,Rezeptionist Pensum für Wochen
Mitarbeiter*in Empfang,admin.2.3,Mitarbeiter Empfang
Secrétaire - réceptionniste,admin.2.3,Secrétaire réceptionniste
Serviceassistent /Mitarbeiter Empfang (m/w) 100%,admin.2.3,Serviceassistent Mitarbeiter Empfang 
50% Rezeptionist/In,admin.2.3, Rezeptionist
Sachbearbeiter 50% oder 100% D/IT/EN (m/w),admin.45.50,Sachbearbeiter oder DITEN 
EmpfangsmitarbeiterIn 70% (täglich),admin.2.3,EmpfangsmitarbeiterIn täglich
MitarbeiterIn Empfang/Telefonzentrale (50-100%),admin.2.155,MitarbeiterIn EmpfangTelefonzentrale 
Réceptionniste & Gestionnaire commercial-e FR/ALL/EN,admin.2.3,Réceptionniste Gestionnaire commerciale FRALLEN
Secrétaire Réceptionniste à 100%,admin.2.3,Secrétaire Réceptionniste à 
Mitarbeiter/in Empfang in Springerfunktion 40-50%,admin.2.3,Mitarbeiter Empfang in Springerfunktion 
"Mitarbeiter/-in Kundenempfang, 60-80%",admin.2.3,Mitarbeiterin Kundenempfang 
Receptionniste 100%,admin.2.3,Receptionniste 
Mitarbeiter*in Empfang,admin.2.3,Mitarbeiter Empfang
"Mitarbeiter/in Empfang (m/w, 60%)",admin.2.3,Mitarbeiter Empfang 
"Mitarbeiter/-in Kundenempfang, 60%",admin.2.3,Mitarbeiterin Kundenempfang 
Team-Mitarbeiter Rezeption w/m 100%,service.126.133,TeamMitarbeiter Rezeption 
Empfang im Sport Center Polyterrasse (60 - 75 %),service.145.147,Empfang im Sport Center Polyterrasse 
Sachbearbeiter Empfang & Telefon 100% (m/w),admin.2.3,Sachbearbeiter Empfang Telefon 
MitarbeiterIn Empfang/Telefonzentrale (50-100%),admin.2.3,MitarbeiterIn EmpfangTelefonzentrale 
Conference Center Mitarbeiter Empfang (m/w/d) 60% befristet Zürich ZH,admin.2.3,Conference Center Mitarbeiter Empfang befristet Zürich ZH
"Rezeptionist*in, 100% (m,w,d) (Inserat auf FR)",admin.2.3,Rezeptionist mwd Inserat auf FR
Sachbearbeiter Business Support (a) 80-100%,admin.2.155,Sachbearbeiter Business Support a 
Sachbearbeiter Business Support (a) 80-100%,admin.2.155,Sachbearbeiter Business Support a 
Lehrstelle als Koch/Köchin EFZ,service.126.128,Lehrstelle als KochKöchin EFZ
Technical Sales Support,admin.40.36,Technical Sales Support
After Sales Coordinator / Export 100% (m/w),admin.35.39,After Sales Coordinator Export 
Back Office / Verkaufsinnendienst / Sales Admin (m/w) 100 %,admin.45.49,Back Office Verkaufsinnendienst Sales Admin 
X-MAS Sales Support (w/m/d),admin.45.47,XMAS Sales Support 
Sales Support Specialist (w/m/d),admin.45.49,Sales Support Specialist 
Verkaufskoordinator/in Care (m/w),admin.45.49,Verkaufskoordinator Care 
Sachbearbeiter:in im Verkaufsinnendienst 100 % Pensum,admin.45.49,Sachbearbeiter im Verkaufsinnendienst Pensum
"Strategischer Verkaufs- und Werbemarkt Support (m/w/d) 80-100%, Zürich",admin.40.42,Strategischer Verkaufs und Werbemarkt Support Zürich
Verkaufskoordinator/in Care (m/w),admin.45.49,Verkaufskoordinator Care 
Mitarbeiter Verkaufsinnendienst,admin.45.48,Mitarbeiter Verkaufsinnendienst
"Verkaufsberater im Aussendienst (m/w/d) 100%, Mittelland und Westschweiz",admin.45.2026,Verkaufsberater im Aussendienst Mittelland und Westschweiz
Sales & Office Coordinator,admin.45.49,Sales Office Coordinator
Mitarbeiter*in Verkaufssupport (m/w/d) 80-100%,admin.45.49,Mitarbeiter Verkaufssupport 
Gärtner/Gartenbauer als verantwortlicher Aussenanlasen (m/w),tech.89.92,GärtnerGartenbauer als verantwortlicher Aussenanlasen 
Gärtner/in Werkhof 100%,service.120.121,Gärtner Werkhof 
Kundenberater/in Verkauf Innendienst Profishop,admin.45.49,Kundenberater Verkauf Innendienst Profishop
Gärtner / Unterhaltsgärtner / Hilfsgärtner (m/w) (Führerausweis Kat. B zwingend),tech.89.92,Gärtner Unterhaltsgärtner Hilfsgärtner Führerausweis Kat B zwingend
Landschaftsgärtner/in EFZ 100%,tech.89.92,Landschaftsgärtner EFZ 
Gärtner/in Verkauf und Beratung 80 - 100 % (mit Warengruppenleitung),admin.45.47,Gärtner Verkauf und Beratung mit Warengruppenleitung
Topfpflanzen-Gärtner EFZ (m/w),tech.89.92,TopfpflanzenGärtner EFZ 
Landschaftsgärtner / Gartenbauarbeiter - Top Stundenlohn!,tech.89.92,Landschaftsgärtner Gartenbauarbeiter Top Stundenlohn
"Landschaftsgärtner, Gartenbauarbeiter - Top Stundenlohn!",tech.89.92,Landschaftsgärtner Gartenbauarbeiter Top Stundenlohn
Gärtner / Fachrichtung Garten- und Landschaftsbau,tech.89.92,Gärtner Fachrichtung Garten und Landschaftsbau
Gärtner/Gartenbauer als verantwortlicher Aussenanlasen (m/w),tech.89.92,GärtnerGartenbauer als verantwortlicher Aussenanlasen 
Kundengärtner/in Gartenunterhalt Gärtner/in EFZ,tech.89.92,Kundengärtner Gartenunterhalt Gärtner EFZ
Webmaster/in 50% (befristet bis Ende September 2023),tech.53.157,Webmaster befristet bis Ende September 
"Gärtner*in EFZ, 60 %",tech.89.92,Gärtner EFZ 
Gärtner/-in EFZ (100%),tech.89.92,Gärtnerin EFZ 
Gemeindepolizist/in 60%,service.140.142,Gemeindepolizist 
MITARBEITER/IN PERSONALADMINISTRATION 60-80% (m/w/d),admin.2.4,MITARBEITERIN PERSONALADMINISTRATION 
Hauswart / Hauswartin (100%) im Facility Management,tech.101.19,Hauswart Hauswartin im Facility Management
Objektverantwortlicher / Hauswart 100% (a),tech.101.19,Objektverantwortlicher Hauswart a
"Lehrstelle Fachmann/Fachfrau Betriebsunterhalt EFZ EBA „Hausdienst""",service.126.134,Lehrstelle FachmannFachfrau Betriebsunterhalt EFZ EBA „Hausdienst
Strassenbauer/in EFZ oder mit Berufserfahrung,tech.89.94,Strassenbauer EFZ oder mit Berufserfahrung
Strassenbauer 100% (m/w),tech.89.93,Strassenbauer 
"Maurer, Strassenbauer, Kranführer, Bauarbeiter - Top Stundenlohn!",tech.89.94,Maurer Strassenbauer Kranführer Bauarbeiter Top Stundenlohn
Monteur,tech.89.94,Monteur
Baumaschinenführer 100%,tech.89.93,Baumaschinenführer 
"IT Field Service Disponent (m/w/d) in Schlieren, ZH",admin.45.50,IT Field Service Disponent in Schlieren ZH
Leiter/in Disposition Pharma 100%,admin.35.38,Leiter Disposition Pharma 
Disponent / Kaufmann (m/w),admin.35.38,Disponent Kaufmann 
Disponent/e Région Ouest,admin.35.38,Disponente Région Ouest
Stationsdisponent/in 100 %,service.111.115,Stationsdisponent 
System Disponent,tech.81.86,System Disponent
Mitarbeiter (m/w/d) Servicedisposition Kundendienst,admin.45.50,Mitarbeiter Servicedisposition Kundendienst
Disponent/in,service.111.115,Disponent
Fahrzeug – Disponent im Markenbetrieb,admin.35.38,Fahrzeug – Disponent im Markenbetrieb
Disponent (m/w/d),tech.72.79,Disponent 
Approvisionneur·euse Senior,admin.35.37,Approvisionneur·euse Senior
Disponent/in,admin.2.155,Disponent
Produktionsplaner/in 100%,tech.81.86,Produktionsplaner 
Fertigungsplaner/in - AFEMEA - AF Kreuzlingen,tech.81.86,Fertigungsplaner AFEMEA AF Kreuzlingen
Firewall Operations Professional (m/w - 100%),service.126.127,Firewall Operations Professional 
Servicetechniker - Disponent,tech.72.151,Servicetechniker Disponent
Disponent*in 80-100% für die stationäre Disposition,admin.45.49,Disponent für die stationäre Disposition
Betriebsfachmann / Betriebstechniker,tech.72.73,Betriebsfachmann Betriebstechniker
Collaborateur d'exploitation (m/f),tech.81.86,Collaborateur dexploitation 
Spezialist Änderungsdienst,service.140.142,Spezialist Änderungsdienst
Fertigungstechniker :in,tech.81.76,Fertigungstechniker 
Projektleiter:in PPS / ERP,admin.20.27,Projektleiter PPS ERP
